Absiella_sp_AM09_45_AM09_45Scaf1 1 137909 169684
Absiella_sp_AM09_45_AM09_45Scaf1 2 201359 215277
Absiella_sp_AM09_45_AM09_45Scaf1 3 231547 274882
Absiella_sp_AM09_45_AM09_45Scaf1 4 90893 127258
Absiella_sp_AM09_45_AM09_45Scaf1 5 27360 65660
Absiella_sp_AM09_45_AM09_45Scaf1 6 83152 104922
Absiella_sp_AM09_45_AM09_45Scaf1 7 70815 98729
Absiella_sp_AM09_45_AM09_45Scaf1 8 81945 83135
Absiella_sp_AM09_45_AM09_45Scaf1 9 184 10115
Absiella_sp_AM09_45_AM09_45Scaf1 10 13 18352
Absiella_sp_AM09_45_AM09_45Scaf1 11 426 35990
Absiella_sp_AM09_45_AM09_45Scaf1 12 5600 36225
Absiella_sp_AM09_45_AM09_45Scaf1 13 12713 21961
Absiella_sp_AM09_45_AM09_45Scaf1 14 44 5062
Absiella_sp_AM09_45_AM09_45Scaf1 15 1 4710
Absiella_sp_AM09_45_AM09_45Scaf1 16 1 4577
Absiella_sp_AM09_45_AM09_45Scaf1 17 65601 70779
Absiella_sp_AM09_45_AM09_45Scaf1 18 80406 98521
Absiella_sp_AM09_45_AM09_45Scaf1 19 66 55510
Absiella_sp_AM09_50_AM09_50Scaf1 1 142 38374
Absiella_sp_AM09_50_AM09_50Scaf1 2 27366 65666
Absiella_sp_AM09_50_AM09_50Scaf1 3 70074 97229
Absiella_sp_AM09_50_AM09_50Scaf1 4 1 43342
Absiella_sp_AM09_50_AM09_50Scaf1 5 59612 74755
Absiella_sp_AM09_50_AM09_50Scaf1 6 113648 137389
Absiella_sp_AM09_50_AM09_50Scaf1 7 190 9745
Absiella_sp_AM09_50_AM09_50Scaf1 8 19 17099
Absiella_sp_AM09_50_AM09_50Scaf1 9 5606 36231
Absiella_sp_AM09_50_AM09_50Scaf1 10 151118 205972
Absiella_sp_AM09_50_AM09_50Scaf1 11 15437 21970
Absiella_sp_AM09_50_AM09_50Scaf1 12 188816 210224
Absiella_sp_AM09_50_AM09_50Scaf1 13 43536 59844
Absiella_sp_AM09_50_AM09_50Scaf1 14 70034 75654
Absiella_sp_AM09_50_AM09_50Scaf1 15 72 55516
Absiella_sp_AM09_50_AM09_50Scaf1 16 110506 131871
Absiella_sp_AM10_20_AM10_20Scaf1 1 171166 203251
Absiella_sp_AM10_20_AM10_20Scaf1 2 148 39236
Absiella_sp_AM10_20_AM10_20Scaf1 3 88485 123609
Absiella_sp_AM10_20_AM10_20Scaf1 4 186 7706
Absiella_sp_AM10_20_AM10_20Scaf1 5 78 38150
Absiella_sp_AM10_20_AM10_20Scaf1 6 29101 45898
Absiella_sp_AM10_20_AM10_20Scaf1 7 1 17058
Absiella_sp_AM10_20_AM10_20Scaf1 8 295605 326188
Absiella_sp_AM10_20_AM10_20Scaf1 9 7354 53503
Absiella_sp_AM10_20_AM10_20Scaf1 10 69773 84916
Absiella_sp_AM10_20_AM10_20Scaf1 11 117497 148497
Absiella_sp_AM10_20_AM10_20Scaf1 12 1 10343
Absiella_sp_AM10_20_AM10_20Scaf1 13 28477 74975
Absiella_sp_AM10_20_AM10_20Scaf1 14 15 3529
Absiella_sp_AM10_20_AM10_20Scaf1 15 126119 175998
Absiella_sp_AM10_20_AM10_20Scaf1 16 125178 151786
Absiella_sp_AM22_9_AM22_9Scaf1 1 124927 169133
Absiella_sp_AM22_9_AM22_9Scaf1 2 509543 543617
Absiella_sp_AM22_9_AM22_9Scaf1 3 39 24954
Absiella_sp_AM22_9_AM22_9Scaf1 4 27999 37548
Absiella_sp_AM22_9_AM22_9Scaf1 5 78 38822
Absiella_sp_AM22_9_AM22_9Scaf1 6 1 15690
Absiella_sp_AM22_9_AM22_9Scaf1 7 103297 183786
Absiella_sp_AM22_9_AM22_9Scaf1 8 7354 53503
